centroid_x,centroid_y,intensity,frame,set,label,solution
0.8542889461339077,0.0457676362991333,0.2784313725490196,0,0,0,0
0.8732364832797898,0.03811570405960083,0.23137254901960785,0,0,0,0
0.3172959087050964,0.034960625171661375,0.3686274509803922,0,0,0,0
0.7777270165559287,0.04366373062133789,0.1843137254901961,0,0,0,0
0.8440717180198598,0.046716041564941406,0.2901960784313726,0,0,0,0
0.8900267984265479,0.043439230918884277,0.2627450980392157,0,0,0,0
0.07555136279525043,0.04342621326446533,0.30196078431372547,0,0,0,0
0.5278993980906834,0.04828534603118897,0.37254901960784315,0,0,0,0
0.7191037186952395,0.04366785049438476,0.30196078431372547,0,0,0,0
0.9081083779023073,0.04955635070800781,0.2235294117647059,0,0,0,0
0.9168749657746788,0.05703901767730713,0.403921568627451,0,0,0,0
0.6487113025700935,0.05009752750396729,0.36470588235294116,0,0,0,0
0.8097117201190128,0.052845425605773926,0.2823529411764706,0,0,0,0
0.8263924571955316,0.051407365798950194,0.21176470588235294,0,0,0,0
0.8014780775408878,0.07223687648773193,0.3411764705882353,0,0,0,0
0.8999686838310456,0.06599123001098633,0.2196078431372549,0,0,0,0
0.7368747604227511,0.0712520408630371,0.3215686274509804,0,0,0,0
0.8634628723714953,0.07007545471191406,0.26666666666666666,0,0,0,0
0.6846794342326227,0.07337560176849366,0.3568627450980392,0,0,0,0
0.7280757725795853,0.0784593391418457,0.2901960784313726,0,0,0,0
0.7739171678774824,0.0723932409286499,0.23137254901960785,0,0,0,0
0.8481504065968166,0.07464778900146485,0.27450980392156865,0,0,0,0
0.8714224842107184,0.07809213638305663,0.2627450980392157,0,0,0,0
0.7815367511499708,0.08389128684997559,0.23529411764705882,0,0,0,0
0.7908677716121495,0.0827190113067627,0.22745098039215686,0,0,0,0
0.8400331301109814,0.08452863693237304,0.2980392156862745,0,0,0,0
0.6936295268691589,0.09086932182312012,0.38823529411764707,0,0,0,0
0.7669847149715245,0.0858415699005127,0.2627450980392157,0,0,0,0
0.8894215806622372,0.09020256996154785,0.2549019607843137,0,0,0,0
0.9100518057279497,0.08718412399291992,0.25882352941176473,0,0,0,0
0.7467577212324766,0.11011958122253418,0.34901960784313724,0,0,0,0
0.762774087781104,0.10166399002075195,0.29411764705882354,0,0,0,0
0.3335298912547459,0.11145514488220215,0.36470588235294116,0,0,0,0
0.7764699205059872,0.1079571533203125,0.2196078431372549,0,0,0,0
